residSugar,primingSugar,dissolvedCO2,dropSG,DAPppm
0,0,1.191082774,0,0
0,1,1.656351457,0.000457429,1.1
0,2,2.121061045,0.000914187,2.3
0,3,2.585212652,0.001370276,3.4
0,4,3.048807386,0.001825699,4.6
0,5,3.511846355,0.002280456,5.7
0,6,3.974330659,0.002734549,6.8
0,7,4.436261398,0.003187981,8
0,8,4.897639664,0.003640753,9.1
0,9,5.358466551,0.004092867,10.2
0,10,5.818743143,0.004544324,11.4
0,11,6.278470527,0.004995127,12.5
0,12,6.73764978,0.005445277,13.6
0,13,7.196281981,0.005894775,14.7
0,14,7.654368201,0.006343623,15.9
0,15,8.11190951,0.006791824,17
0,16,8.568906973,0.007239379,18.1
0,17,9.025361654,0.007686289,19.2
0,18,9.481274611,0.008132556,20.3
0,19,9.936646898,0.008578182,21.4
0,20,10.39147957,0.009023169,22.6
0,21,10.84577367,0.009467518,23.7
0,22,11.29953025,0.00991123,24.8
0,23,11.75275034,0.010354308,25.9
0,24,12.20543499,0.010796754,27.0
0,25,12.65758523,0.011238568,28.1
